class,epsilon_ball,M,total_samples,adversarial,valid_adv,asr_percent,valid_rate_percent
0,0.7000000000000001,1000,1000,0,0,0.0,100.0
1,0.7000000000000001,1000,1000,0,0,0.0,100.0
2,0.7000000000000001,1000,1000,2,2,0.2,100.0
3,0.7000000000000001,1000,1000,0,0,0.0,100.0
4,0.7000000000000001,1000,1000,54,54,5.4,100.0
5,0.7000000000000001,1000,1000,1,1,0.1,100.0
6,0.7000000000000001,1000,1000,0,0,0.0,100.0
7,0.7000000000000001,1000,1000,0,0,0.0,100.0
8,0.7000000000000001,1000,1000,0,0,0.0,100.0
9,0.7000000000000001,1000,1000,0,0,0.0,100.0
